cliente,recencia,frequencia,valor_monetario,periodo,grupo
189472,26,8,136.1375,223,5
189479,58,9,105.887777,217,5
189481,38,4,291.864999,240,5
189482,21,7,148.62,243,5
189483,14,5,202.687999,59,2
189484,59,9,132.193333,243,5
189486,127,7,90.732857,238,3
189487,16,15,135.767332,234,1
189489,80,5,282.271999,228,5
189491,242,1,137.07,242,3
189492,4,24,57.629583,241,1
189496,26,8,203.529999,87,2
189499,82,6,269.349999,203,5
189500,123,6,136.744999,242,3
189501,120,9,192.605554,241,5
189503,62,11,261.153635,238,5
189504,228,2,131.365,238,3
189506,130,5,197.359998,228,3
189508,6,13,156.235384,239,5
189511,33,16,122.913124,235,1
189513,50,8,120.57875,218,5
189514,241,1,9.98,241,3
189518,63,10,310.761998,230,5
189520,225,2,33.289999,236,3
189523,122,2,451.899999,206,4
189527,5,3,76.766666,112,2
189529,7,8,191.579999,214,5
189530,10,3,192.896666,91,2
189532,120,7,306.059999,242,5
189533,50,3,277.469998,238,5
189534,7,15,234.135332,226,1
189536,218,3,72.149999,241,3
189537,54,8,88.479999,229,5
189539,200,1,1196,200,4
189542,1,5,515.155999,241,4
189544,77,17,44.869411,241,1
189545,212,1,21.98,212,3
189546,237,1,77.4,237,3
189549,232,1,89.27,232,3
189552,75,5,75.398,243,5
189553,235,1,126.499996,235,3
189555,32,6,132.358333,239,5
189556,227,1,395.81,227,3
189561,84,7,118.86999900000001,241,5
189566,16,14,64.992142,242,1
189569,67,13,58.856153,242,5
189570,2,20,124.151999,242,1
189576,180,3,40.006666,241,3
189580,1,5,108.974,78,2
189581,178,6,177.503332,242,3
189582,7,16,51.724374,240,1
189583,14,2,68.375,239,5
189585,63,9,430.156665,239,4
189586,240,2,22.88,241,3
189587,80,8,107.028749,239,5
189588,49,3,170.536666,239,5
189589,202,2,83.865,227,3
189590,5,4,163.794999,115,2
189591,99,6,22.718333,227,5
189592,32,3,106.063333,239,5
189593,27,1,16.59,27,2
189594,196,2,22.545,198,3
189595,42,13,135.036153,234,5
189597,207,2,70.815,221,3
189598,19,23,48.194782,242,1
189605,35,13,146.040768,239,5
189607,16,16,124.596874,242,1
189608,10,13,218.320767,238,5
189610,99,1,36.94,99,2
189614,240,1,53.91,240,3
189615,53,4,104.734999,196,5
189621,86,2,17.56,93,2
189627,213,2,58.025,229,3
189628,191,1,38.11,191,3
189629,181,1,237.9,181,3
189631,166,4,126.259999,242,3
189632,24,2,132.81,214,5
189640,57,3,32.133333,160,5
189642,32,15,107.391333,236,1
189643,33,16,234.939374,236,1
189644,135,21,32.179047,241,1
189645,143,5,62.248,241,3
189646,23,18,50.375555,242,1
189649,239,1,347.4,239,3
189650,4,17,47.177646,242,1
189652,236,1,28.95,236,3
189655,4,6,65.739999,193,5
189658,14,4,36.437499,223,5
189659,238,1,79.969999,238,3
189661,203,1,198.669999,203,3
189664,119,2,285.47,238,3
189666,25,6,445.308332,239,4
189667,93,6,123.275,242,5
189668,12,4,340.352498,243,5
189669,13,3,121.509999,102,2
189670,15,10,38.21,237,5
189674,21,13,65.483075,226,5
189678,56,7,116.552856,194,5
189679,243,1,287.78,243,3
189680,28,2,230.804997,212,5
189681,227,1,21.72,227,3
189682,23,14,86.933571,225,1
189683,57,6,33.873333,239,5
189686,2,18,57.963333,240,1
189687,29,12,110.329166,243,5
189688,14,11,74.894545,133,5
189691,48,3,272.636666,213,5
189692,203,2,157.61,212,3
189694,212,1,147.72,212,3
189696,239,1,136.97,239,3
189697,4,22,161.505454,242,1
189698,26,22,111.984999,243,1
189699,30,30,92.312333,239,1
189700,49,4,71.764999,243,5
189701,29,14,67.042856,243,1
189702,210,2,232.815,242,3
189704,198,1,199.519998,198,3
189706,146,5,169.843999,235,3
189707,3,2,62.83,165,5
189708,4,25,224.703199,231,1
189709,66,11,238.830908,240,5
189710,30,4,213.222499,149,5
189711,22,5,147.649999,115,2
189713,105,1,104.23,105,2
189715,29,2,120.089999,91,2
189716,91,2,24.45,217,5
189717,32,23,66.729564,241,1
189719,242,1,15.83,242,3
189720,86,4,150.7625,129,2
189721,165,2,93.095,185,3
189722,5,20,271.836499,242,1
189725,83,8,26.155,243,5
189726,101,10,58.932,237,5
189730,227,1,18.49,227,3
189732,109,3,280.249998,215,5
189733,2,5,20.716,220,5
189734,166,2,161.595,225,3
189735,25,11,158.580908,243,5
189736,121,1,168.279999,121,2
189737,80,5,74.002,239,5
189738,165,3,37.213333,204,3
189739,159,1,97.14,159,3
189740,14,14,101.157856,238,1
189741,64,11,210.115454,201,5
189742,212,1,502.81,212,4
189744,5,18,46.142222,243,1
189748,239,1,19.23,239,3
189749,56,7,134.30857,243,5
189752,1,13,136.333076,231,5
189758,211,1,132.86,211,3
189759,84,11,76.30909,242,5
189760,56,3,29.09,109,2
189763,202,2,113.345,238,3
189765,49,7,307.598571,238,5
189766,161,4,342.064999,211,4
189769,226,2,127.464999,242,3
189770,211,7,28.09,243,3
189772,232,1,120.269999,232,3
189773,47,2,100.985,98,2
189774,87,15,149.922666,243,1
189775,12,3,316.109999,239,5
189776,57,1,18.29,57,2
189779,243,1,127.069999,243,3
189781,66,12,128.589166,242,5
189782,134,6,191.528332,242,3
189784,243,1,36.01,243,3
189785,138,8,28.51125,240,3
189787,2,8,302.402498,224,5
189788,84,9,127.056665,234,5
189789,147,7,196.341428,243,3
189790,68,1,114.53,68,2
189792,34,5,151.542,223,5
189793,63,3,77.686666,98,2
189796,165,4,185.592499,238,3
189798,2,10,68.562999,230,5
189800,146,4,262.074999,206,3
189801,219,2,151.414999,236,3
189802,3,8,155.774999,242,5
189803,1,12,409.773332,243,5
189804,30,9,129.84111,240,5
189805,114,2,340.039995,225,4
189806,24,3,74.083332,211,5
189809,64,2,224.535,201,5
189810,47,14,91.265714,201,5
189813,237,1,94.91,237,3
189815,6,14,97.762142,238,1
189819,199,2,199.899998,208,3
189822,211,4,111.389999,234,3
189824,175,3,37.533333,243,3
189825,204,1,22.98,204,3
189827,29,28,119.428214,242,1
189830,91,20,44.956499,242,1
189831,14,39,64.389486,243,1
189832,11,2,151.274999,86,2
189834,99,2,210.939999,235,5
189836,169,14,52.662142,239,3
189839,212,3,173.653333,236,3
189840,203,6,10.984999,242,3
189843,32,8,150.896249,218,5
189847,191,1,19.29,191,3
189848,204,2,16.985,210,3
189850,45,3,166.6,205,5
189851,180,4,15.3825,205,3
189852,142,7,40.891428,243,3
189854,165,1,121.62,165,3
189857,206,4,130.6275,215,3
189860,239,1,103.279999,239,3
189862,75,1,207.13,75,2
189866,24,5,186.033999,177,5
189867,142,5,605.363998,230,4
189869,1,12,162.751666,243,5
189870,238,5,27.408,243,3
189872,9,5,37.456,231,5
189874,9,5,161.248,161,5
189875,63,18,159.324999,241,1
189876,21,8,297.234999,227,5
189880,8,16,263.519374,240,1
189881,120,5,51.798,206,3
189882,46,5,163.655999,241,5
189883,115,7,136.901428,213,5
189884,94,3,566.503333,237,4
189887,203,2,464.759998,241,4
189890,13,4,133.537499,215,5
189892,49,14,208.334285,240,5
189893,176,4,205.844999,240,3
189894,1,9,154.587777,241,5
189895,238,1,71.56,238,3
189896,220,2,48.03,234,3
189897,99,1,95.11,99,2
189899,7,23,157.517825,240,1
189903,97,8,146.561249,203,5
189905,237,1,17.38,237,3
189907,3,2,30.08,242,5
189908,8,1,67.56,8,2
189910,29,7,444.065713,213,4
189911,129,4,172.749999,239,3
189912,239,1,552.259996,239,4
189914,81,11,104.596363,235,5
189917,6,2,285.924998,38,2
189921,13,9,91.889999,215,5
189922,112,5,98.763999,228,5
189925,220,3,69.826666,231,3
189929,162,6,75.759999,243,3
189930,239,1,161.71,239,3
189931,185,5,33.696,242,3
189932,2,2,82.865,47,2
189933,88,15,289.694666,242,1
189936,3,4,51.325,210,5
189937,35,6,72.7,234,5
189938,220,2,9.375,243,3
189939,6,24,65.742916,242,1
189942,243,1,151.72,243,3
189943,49,2,174.269999,214,5
